lat,lon,haversine distance,rssi,snr
46.804806,-71.23407,0.012313860941876557,,
46.804806,-71.23407,0.012313860941876557,-52.0,4.75
46.804817,-71.233994,0.01819616642467019,-54.0,4.25
46.804817,-71.233994,0.01819616642467019,-56.0,4.5
46.804829,-71.234001,0.018125658422282472,-61.0,5.0
46.804829,-71.234001,0.018125658422282472,-65.0,5.0
46.804829,-71.234001,0.018125658422282472,-69.0,4.75
46.804829,-71.234001,0.018125658422282472,-72.0,5.0
46.804829,-71.234001,0.018125658422282472,-69.0,4.75
46.804829,-71.234001,0.018125658422282472,-74.0,5.25
46.804825,-71.233986,0.019046936574746813,-71.0,4.25
46.804825,-71.233986,0.019046936574746813,-76.0,4.75
46.804829,-71.233978,0.0197676876974597,-85.0,4.0
46.804829,-71.233978,0.0197676876974597,-82.0,3.75
46.804829,-71.233971,0.02027104141482802,-92.0,3.25
46.804829,-71.233971,0.02027104141482802,-83.0,4.5
46.804829,-71.233971,0.02027104141482802,-80.0,5.0
46.804829,-71.233971,0.02027104141482802,-94.0,2.25
46.804829,-71.233971,0.02027104141482802,-89.0,3.0
46.804829,-71.233971,0.02027104141482802,-80.0,4.75
46.804825,-71.233971,0.020131493269476875,-91.0,2.75
46.804825,-71.233963,0.020712433729506596,-91.0,3.25
46.804825,-71.233963,0.020712433729506596,-97.0,1.5
46.804825,-71.233963,0.020712433729506596,-98.0,-1.25
46.804825,-71.233963,0.020712433729506596,-105.0,-7.75
46.804832,-71.233971,0.02038144608895448,-104.0,-7.0
46.804832,-71.233971,0.02038144608895448,-109.0,-12.0
46.804836,-71.233971,0.020536159449279102,-102.0,-4.75
46.804836,-71.233971,0.020536159449279102,-102.0,-6.5
46.80484,-71.233963,0.021264709879582087,-106.0,-7.75
46.80484,-71.233963,0.021264709879582087,-108.0,-10.0
46.80484,-71.233963,0.021264709879582087,-115.0,-16.0
46.804844,-71.233948,0.022489954257912222,-114.0,-11.0
46.804916,-71.23378,0.03742211628993681,-116.0,-17.0
46.805134,-71.233322,0.0796298361608945,,
46.805134,-71.233322,0.0796298361608945,-113.0,-15.75
46.805115,-71.233299,0.08010936429400685,-117.0,-19.5
46.805115,-71.233299,0.08010936429400685,-121.0,-19.0
46.805222,-71.233315,0.0854524141880331,-121.0,-20.0
46.805233,-71.233307,0.08666654993465829,-119.0,-20.75
46.805595,-71.232849,0.13911024038626893,,
46.805595,-71.232849,0.13911024038626893,-116.0,-18.0
46.80526,-71.233368,0.08487297746445463,-118.0,-19.75
46.805244,-71.23336,0.08421599605673515,-117.0,-20.75
46.805229,-71.23336,0.08318230973219182,-112.0,-15.5
46.805229,-71.23336,0.08318230973219182,-116.0,-17.5
46.805218,-71.233353,0.08286261196005154,-108.0,-8.5
46.805218,-71.233353,0.08286261196005154,-105.0,-9.0
46.805202,-71.233345,0.0822990412270024,-105.0,-7.0
46.805202,-71.233345,0.0822990412270024,-105.0,-6.5
46.805191,-71.23333,0.08252882657674183,-101.0,-4.0
46.805191,-71.23333,0.08252882657674183,-102.0,-3.75
46.805176,-71.233322,0.08210218618385542,-103.0,-4.75
46.805176,-71.233322,0.08210218618385542,-98.0,-2.5
46.805161,-71.233315,0.08164747702865637,-93.0,1.75
46.805161,-71.233315,0.08164747702865637,-93.0,3.75
46.805149,-71.23333,0.07997230739019406,-83.0,4.75
46.805138,-71.233345,0.07835869281746771,-94.0,1.25
46.805138,-71.233345,0.07835869281746771,-88.0,4.75
46.805126,-71.233376,0.0756497770298681,-80.0,6.0
46.805126,-71.233376,0.0756497770298681,-81.0,5.75
46.805115,-71.233383,0.07455964005770294,-89.0,2.75
46.804947,-71.234138,0.020717515088765546,,
46.804947,-71.234138,0.020717515088765546,-67.0,5.0
46.804947,-71.234138,0.020717515088765546,-66.0,4.5
46.804947,-71.234138,0.020717515088765546,-69.0,5.25
46.804947,-71.234138,0.020717515088765546,-69.0,5.25
